"Date(UTC)","UnixTimeStamp","Value (Wei)"
"8/5/2022","1659657600","111431995098"
"8/6/2022","1659744000","57629859717"
"8/7/2022","1659830400","73244118206"
"8/8/2022","1659916800","111921809627"
"8/9/2022","1660003200","75131917392"
"8/10/2022","1660089600","144257608819"
"8/11/2022","1660176000","59664768317"
"8/12/2022","1660262400","37823563214"
"8/13/2022","1660348800","39255237202"
"8/14/2022","1660435200","44156079887"
"8/15/2022","1660521600","66995298997"
"8/16/2022","1660608000","59645001030"
"8/17/2022","1660694400","72166698439"
"8/18/2022","1660780800","123110844776"
"8/19/2022","1660867200","249387156857"
"8/20/2022","1660953600","58763862039"
"8/21/2022","1661040000","37389895715"
